ProductName,Category,Description,Material,Standar,VariantName,SKU,Price,Stock,ImageFileName,WeightKg
Climbing System,Pipe Support & Sistem,Sistem bekisting panjat (climbing formwork) untuk pengecoran struktur vertikal tinggi seperti core lift dan dinding gedung secara bertahap.,Rangka Baja Modular,Menahan beban pengecoran vertikal bertahap struktur tinggi,Climbing System,BKS-CLIMBINGSYSTEM,,116,bekisting-climbing.jpg,45
Form Tie,Tie Rod & Aksesoris Ikat,Alat pengikat dua sisi dinding bekisting penahan beban semen cair berkekuatan tarikan maksimal standar konstruksi.,Besi Ulir Baja Karbon Tinggi,Kekuatan tarik maksimal standar konstruksi cor dinding,Form Tie 1 M,BKS-FORMTIE1M,,79,bekisting-form-tie-1-m.jpg,1.2
Form Tie,Tie Rod & Aksesoris Ikat,Alat pengikat dua sisi dinding bekisting penahan beban semen cair berkekuatan tarikan maksimal standar konstruksi.,Besi Ulir Baja Karbon Tinggi,Kekuatan tarik maksimal standar konstruksi cor dinding,Form Tie 1 Ribs M 12,BKS-FORMTIE1RIBSM12,,75,bekisting-form-tie-1-ribs-m-12.jpg,1.3
Besi Hollow Standar,Girder & Rangka Besi,Rangka pengaku (stud) besi hollow hitam cetakan plywood agar triplek tidak melengkung akibat beban dorong semen basah.,Besi Hollow Hitam,Menahan tekanan dorong beton basah pada panel plywood,Besi Hollow 1M,BKS-BESIHOLLOW1M,,51,bekisting-hollow-1m.jpg,2
Besi Hollow Standar,Girder & Rangka Besi,Rangka pengaku (stud) besi hollow hitam cetakan plywood agar triplek tidak melengkung akibat beban dorong semen basah.,Besi Hollow Hitam,Menahan tekanan dorong beton basah pada panel plywood,Besi Hollow 2M,BKS-BESIHOLLOW2M,,29,bekisting-hollow-2m.jpg,4
Besi Hollow Standar,Girder & Rangka Besi,Rangka pengaku (stud) besi hollow hitam cetakan plywood agar triplek tidak melengkung akibat beban dorong semen basah.,Besi Hollow Hitam,Menahan tekanan dorong beton basah pada panel plywood,Besi Hollow 3M,BKS-BESIHOLLOW3M,,28,bekisting-hollow-3m.jpg,6
Besi Hollow Standar,Girder & Rangka Besi,Rangka pengaku (stud) besi hollow hitam cetakan plywood agar triplek tidak melengkung akibat beban dorong semen basah.,Besi Hollow Hitam,Menahan tekanan dorong beton basah pada panel plywood,Besi Hollow 6M,BKS-BESIHOLLOW6M,,54,bekisting-hollow-6m.jpg,12
Besi Hollow Galvanized,Girder & Rangka Besi,"Rangka pengaku berbahan besi galvanis anti karat. Sangat awet, kuat, dan dapat digunakan berulang kali di lingkungan proyek ekstrem.",Besi Hollow Galvanis Anti Karat,Tahan lama & dapat dipakai berulang di lingkungan ekstrem,Besi Hollow Galvanized 4M,BKS-BESIHOLLOWGALVANIZED4M,,56,bekisting-hollow-galvanized-4m.jpg,8.5
Besi Hollow Galvanized,Girder & Rangka Besi,"Rangka pengaku berbahan besi galvanis anti karat. Sangat awet, kuat, dan dapat digunakan berulang kali di lingkungan proyek ekstrem.",Besi Hollow Galvanis Anti Karat,Tahan lama & dapat dipakai berulang di lingkungan ekstrem,Besi Hollow Galvanized 6M,BKS-BESIHOLLOWGALVANIZED6M,,89,bekisting-hollow-galvanized-6m.jpg,12.8
Baut U / Kawel,Tie Rod & Aksesoris Ikat,Baut berbentuk klem letter U untuk mengunci balok kayu girder ke sabuk besi utama dengan cengkeraman rapat maksimal.,Baja Bentuk U (Klem),Cengkeraman rapat maksimal pada balok girder,Baut U / Kawel 35cm,BKS-BAUTUKAWEL35CM,,57,bekisting-kawel-35cm.jpg,0.4
Baut U / Kawel,Tie Rod & Aksesoris Ikat,Baut berbentuk klem letter U untuk mengunci balok kayu girder ke sabuk besi utama dengan cengkeraman rapat maksimal.,Baja Bentuk U (Klem),Cengkeraman rapat maksimal pada balok girder,Baut U / Kawel 50cm,BKS-BAUTUKAWEL50CM,,41,bekisting-kawel-50cm.jpg,0.55
Baut U / Kawel,Tie Rod & Aksesoris Ikat,Baut berbentuk klem letter U untuk mengunci balok kayu girder ke sabuk besi utama dengan cengkeraman rapat maksimal.,Baja Bentuk U (Klem),Cengkeraman rapat maksimal pada balok girder,Baut U / Kawel 1 Meter,BKS-BAUTUKAWEL1METER,,66,bekisting-kawel-1m.jpg,1
Mur & Baut Bekisting,Tie Rod & Aksesoris Ikat,Satu set pasangan mur dan baut khusus berkekuatan tinggi untuk perakitan antar komponen modular besi baja.,Baja Karbon Berkekuatan Tinggi,Perakitan modular antar komponen besi baja,Mur & Baut Bekisting,BKS-MURBAUTBEKISTING,,92,bekisting-mur-dan-baut.jpg,0.15
Cone System,Tie Rod & Aksesoris Ikat,Aksesoris penahan ujung separator tie rod untuk mencegah kebocoran pasta semen sekaligus membentuk celah rapi pada beton.,Plastik ABS / Baja,Mencegah kebocoran pasta semen di titik tie rod,Plastic Cone,BKS-PLASTICCONE,,74,bekisting-plastic-cone.jpg,0.03
Cone System,Tie Rod & Aksesoris Ikat,Aksesoris penahan ujung separator tie rod untuk mencegah kebocoran pasta semen sekaligus membentuk celah rapi pada beton.,Plastik ABS / Baja,Mencegah kebocoran pasta semen di titik tie rod,Steel Cone,BKS-STEELCONE,,47,bekisting-steel-cone.jpg,0.08
Push Pull / Push Pull Prop,Pipe Support & Sistem,Pipa penyeimbang cetakan kolom beton dengan mekanisme putar ulir halus demi menjaga presisi kelurusan dinding.,Pipa Baja dengan Ulir Adjustable,Menjaga presisi kelurusan dinding kolom beton,Push Pull 2.9M,BKS-PUSHPULL29M,,43,bekisting-push-pull-prop-2.9m.jpg,8.5
Push Pull / Push Pull Prop,Pipe Support & Sistem,Pipa penyeimbang cetakan kolom beton dengan mekanisme putar ulir halus demi menjaga presisi kelurusan dinding.,Pipa Baja dengan Ulir Adjustable,Menjaga presisi kelurusan dinding kolom beton,Push Pull 2.94M,BKS-PUSHPULL294M,,98,bekisting-push-pull-2.94m.jpg,14.2
Push Pull / Push Pull Prop,Pipe Support & Sistem,Pipa penyeimbang cetakan kolom beton dengan mekanisme putar ulir halus demi menjaga presisi kelurusan dinding.,Pipa Baja dengan Ulir Adjustable,Menjaga presisi kelurusan dinding kolom beton,Push Pull Prop 3.8M,BKS-PUSHPULLPROP38M,,119,bekisting-push-pull-prop-3.8m.jpg,18.5
Spring Clip,Clamp & Pengunci,Jepitan besi baja (penjepit seling) pengunci kawat baja cor agar panel kayu cetakan terjepit konstan saat penuangan semen basah.,Baja Pegas,Menjepit konstan panel cetakan saat penuangan semen basah,Spring Clip,BKS-SPRINGCLIP,,80,bekisting-spring-clip.jpg,0.2
Steel Column Clamp,Clamp & Pengunci,Klem penahan (sabuk kolom) utama sisi luar bekisting kolom agar tidak melar atau meledak akibat beban akumulasi semen.,Baja Plat Tebal,Menahan beban akumulasi tekanan semen sisi luar kolom,Steel Column Clamp,BKS-STEELCOLUMNCLAMP,,36,bekisting-steel-column-clamp.jpg,3.2
Suri Suri Sabuk Kolom,Girder & Rangka Besi,Suri-suri besi sabuk pengaku kolom cetakan beton untuk menyalurkan beban merata dan menahan momen lentur kayu.,Besi Profil / Galvanis,Menyalurkan beban merata & menahan momen lentur,Suri Suri Sabuk Kolom 0.75M,BKS-SURISURISABUKKOLOM075M,,95,bekisting-suri-suri-sabuk-kolom-0.75m.jpg,6
Suri Suri Sabuk Kolom,Girder & Rangka Besi,Suri-suri besi sabuk pengaku kolom cetakan beton untuk menyalurkan beban merata dan menahan momen lentur kayu.,Besi Profil / Galvanis,Menyalurkan beban merata & menahan momen lentur,Suri Suri Sabuk Kolom 1.2M,BKS-SURISURISABUKKOLOM12M,,70,bekisting-suri-suri-sabuk-kolom-1.2m.jpg,9.5
Suri Suri Sabuk Kolom,Girder & Rangka Besi,Suri-suri besi sabuk pengaku kolom cetakan beton untuk menyalurkan beban merata dan menahan momen lentur kayu.,Besi Profil / Galvanis,Menyalurkan beban merata & menahan momen lentur,Suri Suri Sabuk Kolom 1.5M,BKS-SURISURISABUKKOLOM15M,,35,bekisting-suri-suri-sabuk-kolom-1.5m.jpg,11.8
Suri Suri Sabuk Kolom,Girder & Rangka Besi,Suri-suri besi sabuk pengaku kolom cetakan beton untuk menyalurkan beban merata dan menahan momen lentur kayu.,Besi Profil / Galvanis,Menyalurkan beban merata & menahan momen lentur,Suri Suri Sabuk Kolom Galvanized 75cm,BKS-SURISURISABUKKOLOMGALVANIZED75CM,,85,bekisting-suri-suri-sabuk-kolom-galvanized-75cm.jpg,6.3
Suri Suri Sabuk Kolom,Girder & Rangka Besi,Suri-suri besi sabuk pengaku kolom cetakan beton untuk menyalurkan beban merata dan menahan momen lentur kayu.,Besi Profil / Galvanis,Menyalurkan beban merata & menahan momen lentur,Suri Suri Sabuk Kolom Galvanized 120cm,BKS-SURISURISABUKKOLOMGALVANIZED120CM,,116,bekisting-suri-suri-sabuk-kolom-galvanized-120cm.jpg,10
Tie Nut & Wingnut,Tie Rod & Aksesoris Ikat,Mur sayap kupu-kupu penarik tie rod berkekuatan tinggi sebagai penahan struktur cetakan beton bertulang dinding.,Baja Karbon Tempa,Penahan struktur cetakan beton bertulang dinding,Tie Nut,BKS-TIENUT,,48,bekisting-tie-nut.jpg,0.1
Tie Nut & Wingnut,Tie Rod & Aksesoris Ikat,Mur sayap kupu-kupu penarik tie rod berkekuatan tinggi sebagai penahan struktur cetakan beton bertulang dinding.,Baja Karbon Tempa,Penahan struktur cetakan beton bertulang dinding,Wingnut Hitam,BKS-WINGNUTHITAM,,37,bekisting-wingnut-hitam.jpg,0.12
Tie Nut & Wingnut,Tie Rod & Aksesoris Ikat,Mur sayap kupu-kupu penarik tie rod berkekuatan tinggi sebagai penahan struktur cetakan beton bertulang dinding.,Baja Karbon Tempa,Penahan struktur cetakan beton bertulang dinding,Wingnut TM,BKS-WINGNUTTM,,120,bekisting-wingnut-tm.jpg,0.13
Tie Rod,Tie Rod & Aksesoris Ikat,Besi solid ulir kasar kualitas premium anti putus sebagai jangkar penahan tekanan utama saat semen cor dituang.,Besi Solid Ulir Kasar Premium,Jangkar penahan tekanan utama saat pengecoran,Tie Rod 1M,BKS-TIEROD1M,,49,bekisting-tie-rod-1m.jpg,1.6
Tie Rod,Tie Rod & Aksesoris Ikat,Besi solid ulir kasar kualitas premium anti putus sebagai jangkar penahan tekanan utama saat semen cor dituang.,Besi Solid Ulir Kasar Premium,Jangkar penahan tekanan utama saat pengecoran,Tie Rod 2M,BKS-TIEROD2M,,79,bekisting-tie-rod-2m.jpg,3.2
Tie Rod,Tie Rod & Aksesoris Ikat,Besi solid ulir kasar kualitas premium anti putus sebagai jangkar penahan tekanan utama saat semen cor dituang.,Besi Solid Ulir Kasar Premium,Jangkar penahan tekanan utama saat pengecoran,Tie Rod 3M,BKS-TIEROD3M,,21,bekisting-tie-rod-3m.jpg,4.8
Tie Rod,Tie Rod & Aksesoris Ikat,Besi solid ulir kasar kualitas premium anti putus sebagai jangkar penahan tekanan utama saat semen cor dituang.,Besi Solid Ulir Kasar Premium,Jangkar penahan tekanan utama saat pengecoran,Tie Rod 4M,BKS-TIEROD4M,,102,bekisting-tie-rod-4m.jpg,6.4
Tie Rod,Tie Rod & Aksesoris Ikat,Besi solid ulir kasar kualitas premium anti putus sebagai jangkar penahan tekanan utama saat semen cor dituang.,Besi Solid Ulir Kasar Premium,Jangkar penahan tekanan utama saat pengecoran,Tie Rod 5M,BKS-TIEROD5M,,59,bekisting-tie-rod-5m.jpg,8
Tie Rod,Tie Rod & Aksesoris Ikat,Besi solid ulir kasar kualitas premium anti putus sebagai jangkar penahan tekanan utama saat semen cor dituang.,Besi Solid Ulir Kasar Premium,Jangkar penahan tekanan utama saat pengecoran,Tie Rod 6M,BKS-TIEROD6M,,16,bekisting-tie-rod-6m.jpg,9.6
Besi Kanal UNP,Girder & Rangka Besi,Besi Kanal UNP profil tebal sebagai girder penyangga utama beban bekisting horizontal dan plat lantai cor.,Baja Profil UNP Tebal,Girder penyangga utama beban horizontal & plat lantai,UNP 2M,BKS-UNP2M,,95,bekisting-unp-2m.jpg,22
Besi Kanal UNP,Girder & Rangka Besi,Besi Kanal UNP profil tebal sebagai girder penyangga utama beban bekisting horizontal dan plat lantai cor.,Baja Profil UNP Tebal,Girder penyangga utama beban horizontal & plat lantai,UNP 3M,BKS-UNP3M,,69,bekisting-unp-3m.jpg,33
Besi Kanal UNP,Girder & Rangka Besi,Besi Kanal UNP profil tebal sebagai girder penyangga utama beban bekisting horizontal dan plat lantai cor.,Baja Profil UNP Tebal,Girder penyangga utama beban horizontal & plat lantai,UNP 4M,BKS-UNP4M,,21,bekisting-unp-4m.jpg,44
Besi Kanal UNP,Girder & Rangka Besi,Besi Kanal UNP profil tebal sebagai girder penyangga utama beban bekisting horizontal dan plat lantai cor.,Baja Profil UNP Tebal,Girder penyangga utama beban horizontal & plat lantai,UNP 6M,BKS-UNP6M,,20,bekisting-unp-6m.jpg,66
WAP & Washer Plate,Tie Rod & Aksesoris Ikat,Jangkar plastik dinding (Wall Anchor Plastic) dan ring pelat besi lebar penahan Tie Nut agar tekanan menyebar merata.,Plastik & Pelat Baja,Menyebarkan tekanan Tie Nut secara merata,WAP (Wall Anchor Plastic),BKS-WAPWALLANCHORPLASTIC,,99,bekisting-wap.jpg,0.05
WAP & Washer Plate,Tie Rod & Aksesoris Ikat,Jangkar plastik dinding (Wall Anchor Plastic) dan ring pelat besi lebar penahan Tie Nut agar tekanan menyebar merata.,Plastik & Pelat Baja,Menyebarkan tekanan Tie Nut secara merata,Washer Plate,BKS-WASHERPLATE,,114,bekisting-washer-plate.jpg,0.25
Water Stopper,Pipe Support & Sistem,Komponen pengecoran khusus yang dipasang di tengah tie rod dinding kolam/basement untuk memutus rembesan air tanah.,Karet PVC / Baja,Memutus rembesan air tanah pada dinding kolam/basement,Water Stopper,BKS-WATERSTOPPER,,54,bekisting-water-stopper.jpg,0.6
